layout,algo,d,gflops,l1_miss,seconds
rm,banachiewicz,10,0.336021505376344,0,9.92e-07
rm,banachiewicz,20,1.22661760196259,0,2.174e-06
rm,banachiewicz,50,2.9060305946901,0,1.4338e-05
rm,banachiewicz,100,3.60641075575944,0,9.2428e-05
rm,banachiewicz,200,2.88718713267311,0,0.000923621
rm,banachiewicz,500,2.54240357980187,0,0.016388691
rm,banachiewicz,1000,2.39535878730688,0,0.139157998
rm,banachiewicz,2000,2.29477071965443,0,1.162062355
rm,banachiewicz,3000,2.09887665085271,0,4.288008062
rm,crout,10,0.504286434694907,0,6.61e-07
rm,crout,20,1.24378109452736,0,2.144e-06
rm,crout,50,2.63030532584222,0,1.5841e-05
rm,crout,100,3.66119318285829,0,9.1045e-05
rm,crout,200,2.91907627290882,0,0.000913531
rm,crout,500,2.54060191818697,0,0.016400313
rm,crout,1000,2.41427268956047,0,0.138067806
rm,crout,2000,2.32520990791753,0,1.146849864
rm,crout,3000,2.19248318327152,0,4.104934564
cm,banachiewicz,10,0.536768652710682,0,6.21e-07
cm,banachiewicz,20,1.36472193790515,0,1.954e-06
cm,banachiewicz,50,2.45069207544211,0,1.7002e-05
cm,banachiewicz,100,2.71851416889585,0,0.000122616
cm,banachiewicz,200,2.49720858902408,0,0.001067859
cm,banachiewicz,500,2.10612433661717,0,0.019783574
cm,banachiewicz,1000,1.77585499564322,0,0.187703013
cm,banachiewicz,2000,1.65136295258838,0,1.614827717
cm,banachiewicz,3000,1.32925742420412,0,6.770697561
cm,crout,10,0.511247443762781,0,6.52e-07
cm,crout,20,1.33734536944166,0,1.994e-06
cm,crout,50,2.96180456828737,0,1.4068e-05
cm,crout,100,2.93999182682272,0,0.000113379
cm,crout,200,2.31630472957577,0,0.001151259
cm,crout,500,2.1253211785365,0,0.01960488
cm,crout,1000,1.78909213959595,0,0.186314235
cm,crout,2000,1.68507441536745,0,1.582521604
cm,crout,3000,1.54811798472819,0,5.813510397
